,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,1000-1175,Blue,Ekko,Hecarim,Malzahar,Ashe,Karma,LeBlanc,Trundle,Shen,None,None,0
1,1000-1175,Red,Gnar,Gragas,Viktor,Sivir,Braum,Janna,Maokai,Vladimir,None,None,1
2,1001-1176,Blue,Irelia,Elise,Viktor,Ezreal,Braum,Malzahar,Vladimir,Hecarim,None,None,0
3,1001-1176,Red,Ekko,Gragas,LeBlanc,Jhin,Alistar,Lee Sin,Trundle,Rek'Sai,None,None,1
4,1002-1177,Blue,Gnar,Gragas,Malzahar,Sivir,Braum,Azir,Hecarim,Graves,None,None,0
5,1002-1177,Red,Shen,Rek'Sai,Veigar,Jhin,Alistar,Bard,Vladimir,Trundle,None,None,1
6,1003-1178,Blue,Maokai,Elise,Viktor,Twitch,Thresh,Hecarim,Ryze,Jhin,None,None,0
7,1003-1178,Red,Riven,Zac,Taliyah,Ashe,Braum,LeBlanc,Vladimir,Alistar,None,None,1
8,1004-1179,Blue,Ekko,Rek'Sai,Vladimir,Sivir,Alistar,Poppy,Graves,Hecarim,None,None,0
9,1004-1179,Red,Gangplank,Gragas,Karma,Ashe,Morgana,Shen,Trundle,Malzahar,None,None,1
10,1005-1180,Blue,Maokai,Rek'Sai,Viktor,Ashe,Alistar,Hecarim,Kog'Maw,Gnar,None,None,0
11,1005-1180,Red,Shen,Graves,Karma,Sivir,Trundle,Malzahar,Vladimir,Lucian,None,None,1
12,1006-1181,Blue,Gnar,Hecarim,Zilean,Jhin,Alistar,Karma,Gangplank,Graves,None,None,0
13,1006-1181,Red,Lulu,Gragas,Malzahar,Kog'Maw,Morgana,Vladimir,Shen,Ashe,None,None,1
14,1007-1206,Blue,Shen,Gragas,Vladimir,Sivir,Taric,Nidalee,Elise,Taliyah,None,None,1
15,1007-1206,Red,Poppy,Hecarim,Karma,Lucian,Braum,Jhin,Malzahar,Gnar,None,None,0
