,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,10660-10660_game_1,Blue,Aatrox,Maokai,Orianna,Kalista,Senna,Akali,Nocturne,K'Sante,Lee Sin,Wukong,0
1,10660-10660_game_1,Red,Rumble,Rell,LeBlanc,Varus,Renata Glasc,Poppy,Ashe,Neeko,Vi,Jarvan IV,1
2,10660-10660_game_2,Blue,Kennen,Bel'Veth,Neeko,Senna,Tahm Kench,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,0
3,10660-10660_game_2,Red,Jax,Jarvan IV,LeBlanc,Kalista,Rell,Poppy,Ashe,Rumble,Tristana,Lucian,1
4,10660-10660_game_3,Blue,Jax,Bel'Veth,Neeko,Caitlyn,Lux,Rell,Nocturne,Tristana,Jarvan IV,Rumble,1
5,10660-10660_game_3,Red,Aatrox,Lee Sin,Azir,Kalista,Renata Glasc,Poppy,Ashe,LeBlanc,Sejuani,Vi,0
6,10660-10660_game_4,Blue,Rumble,Jarvan IV,Tristana,Draven,Renata Glasc,Poppy,LeBlanc,Neeko,Sejuani,Jax,1
7,10660-10660_game_4,Red,Aatrox,Wukong,Orianna,Kalista,Senna,Rell,Nocturne,Ashe,Azir,Akali,0
8,10661-10661_game_1,Blue,Renekton,Xin Zhao,Azir,Varus,Nautilus,Ashe,Akali,LeBlanc,Vi,Jax,1
9,10661-10661_game_1,Red,Aatrox,Lee Sin,Orianna,Lucian,Milio,Kalista,Nocturne,Neeko,Sejuani,Poppy,0
10,10661-10661_game_2,Blue,Rumble,Poppy,Neeko,Lucian,Milio,Varus,Nocturne,Azir,Jax,Udyr,1
11,10661-10661_game_2,Red,Ryze,Lee Sin,Orianna,Xayah,Rakan,Ashe,Kalista,LeBlanc,Akali,,0
12,10661-10661_game_3,Blue,Jax,Nocturne,Neeko,Zeri,Lulu,Ashe,LeBlanc,Lucian,Rumble,Gragas,1
13,10661-10661_game_3,Red,Aatrox,Lee Sin,Orianna,Senna,Tahm Kench,Kalista,Varus,Rakan,Kai'Sa,Ezreal,0
14,10661-10661_game_4,Blue,Jax,Jarvan IV,Akali,Lucian,Nami,Nocturne,Varus,Poppy,Lee Sin,Xin Zhao,1
15,10661-10661_game_4,Red,Renekton,Sejuani,Neeko,Zeri,Milio,LeBlanc,Ashe,Kalista,Vi,Rumble,0
16,10661-10661_game_5,Blue,Jax,Xin Zhao,Neeko,Lucian,Nami,Ashe,LeBlanc,Akali,Vi,Poppy,1
17,10661-10661_game_5,Red,Gragas,Lee Sin,Sylas,Draven,Milio,Kalista,Varus,Nocturne,Sejuani,Azir,0
18,10662-10662_game_1,Blue,Aatrox,Lee Sin,LeBlanc,Caitlyn,Lux,Nocturne,Neeko,Jax,Maokai,Sejuani,0
19,10662-10662_game_1,Red,Renekton,Nidalee,Tristana,Kalista,Renata Glasc,Rumble,Ashe,Poppy,Draven,Rakan,1
20,10662-10662_game_2,Blue,Renekton,Bel'Veth,Neeko,Lucian,Milio,Jax,Nocturne,Kalista,Varus,Rakan,0
21,10662-10662_game_2,Red,K'Sante,Lee Sin,Orianna,Caitlyn,Lux,Rumble,Ashe,LeBlanc,Vi,Poppy,1
22,10662-10662_game_3,Blue,Renekton,Maokai,LeBlanc,Caitlyn,Lux,Nocturne,Neeko,Jax,Nidalee,Kindred,0
23,10662-10662_game_3,Red,Kennen,Vi,Tristana,Kalista,Renata Glasc,Rumble,Ashe,Poppy,K'Sante,Lee Sin,1
24,10663-10663_game_1,Blue,Aatrox,Vi,Akali,Draven,Ashe,Nocturne,Neeko,Nautilus,Orianna,Renata Glasc,0
25,10663-10663_game_1,Red,Jax,Lee Sin,Azir,Varus,Tahm Kench,LeBlanc,Kalista,Rumble,Rell,Poppy,1
26,10663-10663_game_2,Blue,Aatrox,Kha'Zix,Azir,Varus,Nautilus,Nocturne,Ashe,Neeko,Lucian,Xayah,0
27,10663-10663_game_2,Red,Jax,Lee Sin,Orianna,Ezreal,Braum,LeBlanc,Kalista,Rumble,Rell,Poppy,1
28,10663-10663_game_3,Blue,Jax,Xin Zhao,Neeko,Lucian,Milio,LeBlanc,Rumble,Kalista,Vi,Akali,1
29,10663-10663_game_3,Red,Aatrox,Poppy,Orianna,Draven,Nautilus,Nocturne,Ashe,Varus,Sejuani,Lee Sin,0
30,10664-10664_game_1,Blue,Yone,Lee Sin,Orianna,Ashe,Renata Glasc,,,,,,0
31,10664-10664_game_1,Red,Aatrox,Vi,Neeko,Varus,Rakan,,,,,,1
32,10664-10664_game_2,Blue,Jax,Wukong,Ahri,Xayah,Rakan,,,,,,1
33,10664-10664_game_2,Red,Gragas,Xin Zhao,Syndra,Varus,Renata Glasc,,,,,,0
34,10664-10664_game_3,Blue,Udyr,Xin Zhao,Neeko,Lucian,Milio,,,,,,0
35,10664-10664_game_3,Red,Rumble,Lee Sin,Akali,Xayah,Rakan,,,,,,1
36,10665-10665_game_1,Blue,K'Sante,Brand,LeBlanc,Varus,Ashe,Akali,Senna,Milio,Ornn,Vi,1
37,10665-10665_game_1,Red,Udyr,Xin Zhao,Azir,Kalista,Nautilus,Rumble,Neeko,Orianna,Jax,Lee Sin,0
38,10665-10665_game_2,Blue,Udyr,Jarvan IV,Azir,Kalista,Renata Glasc,LeBlanc,Neeko,Rumble,Nocturne,Jax,1
39,10665-10665_game_2,Red,Aatrox,Vi,Orianna,Xayah,Rakan,Akali,Ashe,Milio,Poppy,K'Sante,0
40,10665-10665_game_3,Blue,Kennen,Wukong,LeBlanc,Varus,Renata Glasc,Akali,Senna,Milio,Udyr,Vi,1
41,10665-10665_game_3,Red,Sion,Lee Sin,Azir,Kalista,Soraka,Neeko,Ashe,Rumble,Jax,Xin Zhao,0
42,10666-10666_game_1,Blue,Udyr,Nocturne,Orianna,Kalista,Rell,Milio,Vi,Ashe,Tahm Kench,Neeko,0
43,10666-10666_game_1,Red,Jax,Maokai,Azir,Varus,Bard,Rumble,Senna,Rakan,Renata Glasc,Nautilus,1
44,10666-10666_game_2,Blue,Jax,Maokai,Azir,Jhin,Neeko,Rumble,Senna,Rakan,Orianna,Taliyah,0
45,10666-10666_game_2,Red,K'Sante,Vi,Akali,Varus,Nautilus,Ashe,Nocturne,Kalista,Bard,Milio,1
46,10666-10666_game_3,Blue,Kennen,Vi,Taliyah,Kalista,Sett,Milio,Jax,Ashe,Bard,Jayce,1
47,10666-10666_game_3,Red,Aatrox,Poppy,Azir,Varus,Nautilus,Rumble,K'Sante,Nocturne,Renata Glasc,Alistar,0
48,10667-10667_game_1,Blue,Rumble,Jax,LeBlanc,Varus,Rakan,Corki,Tristana,Nocturne,Poppy,Maokai,1
49,10667-10667_game_1,Red,Udyr,Xin Zhao,Azir,Aphelios,Renata Glasc,Ashe,Lucian,Kalista,Bard,Vi,0
50,10667-10667_game_2,Blue,Jax,Maokai,LeBlanc,Ziggs,Rakan,Corki,Tristana,Nocturne,Poppy,Rumble,1
51,10667-10667_game_2,Red,Udyr,Vi,Azir,Varus,Renata Glasc,Ashe,Lucian,Kalista,Xin Zhao,K'Sante,0
52,10668-10668_game_1,Blue,K'Sante,Maokai,Azir,Lucian,Milio,Nocturne,Vi,Renata Glasc,Senna,Zeri,1
53,10668-10668_game_1,Red,Jax,Xin Zhao,Corki,Swain,Pyke,Ashe,Tristana,Kalista,Poppy,Trundle,0
54,10668-10668_game_2,Blue,Jax,Nocturne,Orianna,Kai'Sa,Rell,Lucian,Tristana,Kalista,Maokai,Poppy,0
55,10668-10668_game_2,Red,K'Sante,Sejuani,Azir,Varus,Renata Glasc,Ashe,Senna,Xin Zhao,Rakan,Aphelios,1
56,10669-10669_game_1,Blue,Aatrox,Rell,Azir,Xayah,Rakan,Tristana,Renata Glasc,Ashe,Maokai,Brand,1
57,10669-10669_game_1,Red,K'Sante,Sejuani,Yone,Senna,Tahm Kench,Kalista,LeBlanc,Nocturne,Udyr,Rumble,0
58,10669-10669_game_2,Blue,Udyr,Kindred,Azir,Senna,Tahm Kench,Nocturne,Ashe,Vi,Caitlyn,Rakan,0
59,10669-10669_game_2,Red,K'Sante,Maokai,Yone,Lucian,Milio,Tristana,Renata Glasc,LeBlanc,Varus,Kalista,1
60,10670-10670_game_1,Blue,K'Sante,Xin Zhao,Azir,Kalista,Nautilus,Rengar,Varus,Nocturne,Orianna,Corki,0
61,10670-10670_game_1,Red,Jax,Rell,Taliyah,Draven,Renata Glasc,Akali,Neeko,Ashe,Maokai,Udyr,1
62,10670-10670_game_2,Blue,K'Sante,Lee Sin,Azir,Kalista,Nautilus,Akali,Neeko,Nocturne,Corki,Tristana,1
63,10670-10670_game_2,Red,Gnar,Maokai,LeBlanc,Lucian,Milio,Rengar,Ashe,Jax,Vi,Rell,0
64,10671-10671_game_1,Blue,Udyr,Xin Zhao,Taliyah,Aphelios,Milio,Senna,Vi,Neeko,Rell,Jarvan IV,1
65,10671-10671_game_1,Red,K'Sante,Poppy,Azir,Lucian,Nami,Ashe,Maokai,Brand,LeBlanc,Corki,0
66,10671-10671_game_2,Blue,Poppy,Rell,Azir,Lucian,Nami,Ashe,Brand,LeBlanc,Vi,Neeko,0
67,10671-10671_game_2,Red,K'Sante,Xin Zhao,Taliyah,Kalista,Renata Glasc,Senna,Maokai,Milio,Udyr,Jax,1
68,10672-10672_game_1,Blue,Jax,Sejuani,Orianna,Aphelios,Milio,Nocturne,Kalista,Vi,Poppy,Kennen,0
69,10672-10672_game_1,Red,K'Sante,Maokai,Azir,Lucian,Nami,Ashe,Rumble,Rell,Xin Zhao,Wukong,1
70,10672-10672_game_2,Blue,K'Sante,Maokai,Corki,Aphelios,Milio,Vi,Kalista,Orianna,Jax,LeBlanc,0
71,10672-10672_game_2,Red,Gnar,Rell,Azir,Lucian,Nami,Nocturne,Poppy,Ashe,Tristana,Yone,1
72,10672-10672_game_3,Blue,Jax,Lee Sin,Neeko,Varus,Renata Glasc,Nocturne,Kalista,Vi,Senna,Rakan,0
73,10672-10672_game_3,Red,Udyr,Brand,Tristana,Lucian,Nami,Ashe,Orianna,Milio,Rumble,Xin Zhao,1
74,10673-10673_game_1,Blue,Udyr,Trundle,Orianna,Varus,Renata Glasc,Maokai,Azir,Jax,Aphelios,Rakan,0
75,10673-10673_game_1,Red,K'Sante,Rell,Tristana,Miss Fortune,Bard,Kalista,Lucian,Ashe,Nocturne,Poppy,1
76,10673-10673_game_2,Blue,K'Sante,Dr. Mundo,Azir,Varus,Nautilus,Kalista,Lucian,Ashe,Senna,Ziggs,1
77,10673-10673_game_2,Red,Jax,Maokai,Tristana,Xayah,Rakan,Rumble,Gnar,Udyr,Poppy,Vi,0
78,10674-10674_game_1,Blue,K'Sante,Xin Zhao,Corki,Lucian,Nami,Nocturne,Tristana,Ashe,Jax,Gwen,0
79,10674-10674_game_1,Red,Gnar,Maokai,Azir,Aphelios,Milio,Varus,Kalista,Udyr,LeBlanc,Taliyah,1
80,10674-10674_game_2,Blue,K'Sante,Maokai,Azir,Zeri,Lulu,Varus,Kalista,LeBlanc,Tristana,Taliyah,1
81,10674-10674_game_2,Red,Gwen,Xin Zhao,Orianna,Xayah,Rakan,Ashe,Nocturne,Lucian,Caitlyn,Draven,0
82,10675-10675_game_1,Blue,Udyr,Kindred,Neeko,Lucian,Milio,Nautilus,Nocturne,K'Sante,Gnar,Blitzcrank,1
83,10675-10675_game_1,Red,Rumble,Vi,Azir,Varus,Rell,Ashe,Renata Glasc,Jax,Brand,Maokai,0
84,10675-10675_game_2,Blue,Rumble,Brand,Tristana,Aphelios,Milio,Renata Glasc,Lucian,Ashe,Kindred,Azir,0
85,10675-10675_game_2,Red,K'Sante,Lee Sin,Akali,Senna,Tahm Kench,Nautilus,Jax,Nocturne,Rell,Rakan,1
86,10676-10676_game_1,Blue,Jax,Nocturne,Neeko,Varus,Renata Glasc,Rumble,LeBlanc,Lucian,Azir,Akali,0
87,10676-10676_game_1,Red,K'Sante,Maokai,Corki,Senna,Tahm Kench,Rengar,Kalista,Ashe,Orianna,Rell,1
88,10676-10676_game_2,Blue,K'Sante,Vi,Azir,Xayah,Rakan,Rengar,Kalista,Ashe,Maokai,Nocturne,1
89,10676-10676_game_2,Red,Jax,Rell,Orianna,Varus,Lissandra,Rumble,Lucian,Senna,Akali,LeBlanc,0
90,10677-10677_game_1,Blue,K'Sante,Maokai,Akali,Lucian,Milio,Tristana,Yone,Azir,Jayce,Gnar,1
91,10677-10677_game_1,Red,Poppy,Brand,Corki,Senna,Tahm Kench,Nocturne,LeBlanc,Ashe,Jax,Orianna,0
92,10677-10677_game_2,Blue,Aatrox,Trundle,Corki,Lucian,Nami,Tristana,Yone,Azir,Jayce,Poppy,0
