,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,8401-8401_game_1,Blue,Gwen,Jarvan IV,Syndra,Jinx,Nautilus,Renekton,Lee Sin,Caitlyn,Jayce,Camille,1
1,8401-8401_game_1,Red,Jax,Xin Zhao,Vex,Aphelios,Thresh,Samira,Diana,Akali,LeBlanc,Rumble,0
2,8401-8401_game_2,Blue,Rumble,Xin Zhao,Corki,Jinx,Rakan,Renekton,Caitlyn,Thresh,Jayce,Camille,1
3,8401-8401_game_2,Red,Gangplank,Lee Sin,Twisted Fate,Ziggs,Leona,Samira,Diana,Jarvan IV,LeBlanc,Akali,0
4,8402-8402_game_1,Blue,Graves,Viego,Corki,Jinx,Thresh,LeBlanc,Twisted Fate,Aphelios,Nautilus,Leona,1
5,8402-8402_game_1,Red,Jayce,Xin Zhao,Viktor,Jhin,Sett,Renekton,Diana,Caitlyn,Malphite,Camille,0
6,8402-8402_game_2,Blue,Gwen,Viego,Viktor,Caitlyn,Lux,LeBlanc,Twisted Fate,Aphelios,Corki,Jayce,0
7,8402-8402_game_2,Red,Jax,Xin Zhao,Zoe,Jhin,Karma,Renekton,Diana,Vex,Syndra,Ryze,1
8,8402-8402_game_3,Blue,Gwen,Jarvan IV,Syndra,Jinx,Thresh,Renekton,Diana,Caitlyn,Kennen,Jax,0
9,8402-8402_game_3,Red,Jayce,Lee Sin,Corki,Aphelios,Lulu,Twisted Fate,Xin Zhao,LeBlanc,Zoe,Vex,1
10,8403-8403_game_1,Blue,Jayce,Xin Zhao,Zoe,Kai'Sa,Rakan,Jinx,Caitlyn,Viego,Graves,Gwen,0
11,8403-8403_game_1,Red,Annie,Lee Sin,Ryze,Jhin,Leona,Renekton,Twisted Fate,Aphelios,Kennen,Sion,1
12,8403-8403_game_2,Blue,Kennen,Xin Zhao,Zoe,Samira,Leona,Caitlyn,Jinx,Viego,Alistar,Annie,0
13,8403-8403_game_2,Red,Vladimir,Lee Sin,Vex,Jhin,Nautilus,Renekton,Twisted Fate,Aphelios,Sion,Rell,1
14,8404-8404_game_1,Blue,Akali,Xin Zhao,Viktor,Jinx,Braum,Jarvan IV,Viego,Lee Sin,Gangplank,Jayce,1
15,8404-8404_game_1,Red,Camille,Olaf,LeBlanc,Ziggs,Leona,Renekton,Caitlyn,Lulu,Galio,Vex,0
16,8404-8404_game_2,Blue,Jayce,Xin Zhao,Ryze,Aphelios,Thresh,Renekton,Akali,Viego,Viktor,Irelia,1
17,8404-8404_game_2,Red,Kennen,Olaf,Orianna,Jinx,Lulu,Caitlyn,LeBlanc,Jarvan IV,Corki,Zoe,0
18,8404-8404_game_3,Blue,Kennen,Talon,Viktor,Jinx,Nautilus,Jarvan IV,Viego,Xin Zhao,Gangplank,Olaf,0
19,8404-8404_game_3,Red,Camille,Graves,Akali,Aphelios,Thresh,Renekton,Caitlyn,Lee Sin,Galio,LeBlanc,1
20,8405-8405_game_1,Blue,Gwen,Rek'Sai,Corki,Caitlyn,Lux,LeBlanc,Syndra,Akshan,Vex,Zoe,1
21,8405-8405_game_1,Red,Kennen,Lee Sin,Viktor,Jhin,Karma,Twisted Fate,Renekton,Jarvan IV,Xin Zhao,Ornn,0
22,8405-8405_game_2,Blue,Gwen,Viego,Tryndamere,Ziggs,Nautilus,Renekton,Twisted Fate,LeBlanc,Rek'Sai,Jax,0
23,8405-8405_game_2,Red,Jayce,Lee Sin,Corki,Kai'Sa,Leona,Caitlyn,Jinx,Aphelios,Syndra,Sylas,1
24,8406-8406_game_1,Blue,Kennen,Xin Zhao,Corki,Jinx,Leona,Camille,Twisted Fate,Jhin,Viktor,Tryndamere,0
25,8406-8406_game_1,Red,Irelia,Lee Sin,Ryze,Aphelios,Lulu,Thresh,Renekton,Caitlyn,Nautilus,Jayce,1
26,8406-8406_game_2,Blue,Gwen,Udyr,Corki,Jinx,Blitzcrank,Twisted Fate,Jhin,Lee Sin,Camille,Jax,0
27,8406-8406_game_2,Red,Fiora,Jarvan IV,Viktor,Caitlyn,Lux,Thresh,Renekton,Xin Zhao,Jayce,Kennen,1
28,8407-8407_game_1,Blue,Camille,Xin Zhao,Corki,Jinx,Lulu,Nidalee,LeBlanc,Diana,Akali,Syndra,0
29,8407-8407_game_1,Red,Gwen,Lee Sin,Vex,Aphelios,Rakan,Caitlyn,Renekton,Twisted Fate,Tryndamere,Jayce,1
30,8407-8407_game_2,Blue,Jayce,Xin Zhao,LeBlanc,Jinx,Lulu,Twisted Fate,Renekton,Tryndamere,Nautilus,Syndra,1
31,8407-8407_game_2,Red,Gwen,Lee Sin,Vex,Aphelios,Thresh,Nidalee,Diana,Caitlyn,Kennen,Graves,0
32,8408-8408_game_1,Blue,Renekton,Xin Zhao,Corki,Jinx,Rakan,Twisted Fate,Jhin,Zoe,Akali,Gnar,0
33,8408-8408_game_1,Red,Gwen,Jarvan IV,Viktor,Aphelios,Thresh,Caitlyn,LeBlanc,Lee Sin,Syndra,Vex,1
34,8408-8408_game_2,Blue,Graves,Lee Sin,Vex,Aphelios,Rakan,Caitlyn,LeBlanc,Jinx,Jayce,Akshan,1
35,8408-8408_game_2,Red,Sion,Xin Zhao,Corki,Jhin,Sona,Twisted Fate,Zoe,Jarvan IV,Syndra,Gwen,0
36,8409-8409_game_1,Blue,Camille,Xin Zhao,Galio,Ezreal,Braum,Aphelios,Jinx,Karma,Jayce,Gwen,0
37,8409-8409_game_1,Red,Jax,Lee Sin,Corki,Jhin,Leona,Renekton,LeBlanc,Caitlyn,Syndra,Akali,1
38,8409-8409_game_2,Blue,Gwen,Xin Zhao,Vex,Ezreal,Braum,Aphelios,Jinx,Karma,Vayne,Jax,0
