,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,FRA1TMNT1/120366,Blue,Renekton,Wukong,Lulu,Caitlyn,Morgana,Gragas,Kayle,Elise,,,0
1,FRA1TMNT1/120366,Red,Dr. Mundo,Vi,Nidalee,Lucian,Annie,Riven,Thresh,Kassadin,,,1
2,FRA1TMNT1/120368,Blue,Dr. Mundo,Wukong,Kayle,Lucian,Annie,Riven,Thresh,Leona,,,1
3,FRA1TMNT1/120368,Red,Trundle,Pantheon,Gragas,Caitlyn,Zyra,Kassadin,Lulu,Elise,,,0
4,FRA1TMNT1/120376,Blue,Irelia,Nocturne,Orianna,Draven,Janna,Pantheon,Gragas,Vi,,,1
5,FRA1TMNT1/120376,Red,Zac,Lee Sin,Ziggs,Lucian,Lulu,Jax,Kha'Zix,Kassadin,,,0
6,FRA1TMNT1/120428,Blue,Renekton,Jarvan IV,Orianna,Caitlyn,Thresh,Nidalee,Lee Sin,Pantheon,,,0
7,FRA1TMNT1/120428,Red,Vladimir,Vi,Riven,Lucian,Annie,Lulu,Elise,Kassadin,,,1
8,FRA1TMNT1/120430,Blue,Vladimir,Pantheon,Kassadin,Lucian,Leona,Lee Sin,Renekton,LeBlanc,,,0
9,FRA1TMNT1/120430,Red,Jarvan IV,Elise,Orianna,Caitlyn,Annie,Lulu,Nidalee,Riven,,,1
10,FRA1TMNT1/120436,Blue,Renekton,Pantheon,LeBlanc,Caitlyn,Annie,Riven,Nidalee,Lee Sin,,,1
11,FRA1TMNT1/120436,Red,Vladimir,Vi,Gragas,Lucian,Leona,Lulu,Elise,Kassadin,,,0
12,FRA1TMNT1/120553,Blue,Renekton,Elise,Karthus,Lucian,Annie,Gragas,Evelynn,Pantheon,,,1
13,FRA1TMNT1/120553,Red,Zac,Vi,Yasuo,Sivir,Thresh,Kayle,Lulu,Kassadin,,,0
14,FRA1TMNT1/130344,Blue,Shyvana,Evelynn,Syndra,Draven,Lulu,Pantheon,Gragas,Zilean,,,0
15,FRA1TMNT1/130344,Red,Renekton,Vi,Ziggs,Lucian,Thresh,Jax,Kassadin,Kha'Zix,,,1
16,FRA1TMNT1/130345,Blue,Renekton,Kha'Zix,Ziggs,Lucian,Annie,Jax,Kassadin,Vi,,,0
17,FRA1TMNT1/130345,Red,Lee Sin,Nocturne,Orianna,Jinx,Lulu,Draven,Pantheon,Gragas,,,1
18,FRA1TMNT1/130426,Blue,Shyvana,Pantheon,Lulu,Caitlyn,Nami,Nidalee,Riven,LeBlanc,,,1
19,FRA1TMNT1/130426,Red,Gragas,Lee Sin,Ziggs,Lucian,Thresh,Renekton,Kassadin,Elise,,,0
20,FRA1TMNT1/130427,Blue,Shyvana,Pantheon,LeBlanc,Lucian,Leona,Renekton,Ziggs,Kassadin,,,1
21,FRA1TMNT1/130427,Red,Trundle,Vi,Gragas,Caitlyn,Nami,Nidalee,Lulu,Elise,,,0
22,FRA1TMNT1/130428,Blue,Trundle,Lee Sin,LeBlanc,Sivir,Morgana,Nidalee,Lulu,Elise,,,0
23,FRA1TMNT1/130428,Red,Shyvana,Vi,Ziggs,Lucian,Leona,Renekton,Kassadin,Pantheon,,,1
24,FRA1TMNT1/130457,Blue,Jax,Elise,Gragas,Sivir,Annie,Wukong,Yasuo,Renekton,,,0
25,FRA1TMNT1/130457,Red,Shyvana,Lee Sin,Syndra,Lucian,Thresh,LeBlanc,Kassadin,Lulu,,,1
26,FRA1TMNT1/130460,Blue,Trundle,Elise,Nidalee,Caitlyn,Thresh,LeBlanc,Lulu,Kassadin,,,1
27,FRA1TMNT1/130460,Red,Jax,Lee Sin,Gragas,Sivir,Annie,Renekton,Wukong,Yasuo,,,0
28,FRA1TMNT1/130461,Blue,Shyvana,Elise,LeBlanc,Caitlyn,Thresh,Sivir,Annie,Nidalee,,,1
