,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,FRA1TMNT1/450135,Blue,Rumble,Jarvan IV,Syndra,Sivir,Annie,Alistar,Azir,Irelia,,,0
1,FRA1TMNT1/450135,Red,Gnar,Rengar,Ahri,Graves,Janna,Rek'Sai,LeBlanc,Kassadin,,,1
2,FRA1TMNT1/450138,Blue,Lissandra,Rek'Sai,Xerath,Tristana,Janna,LeBlanc,Kassadin,Lee Sin,,,1
3,FRA1TMNT1/450138,Red,Rumble,Rengar,Syndra,Sivir,Annie,Gnar,Azir,Irelia,,,0
4,FRA1TMNT1/450168,Blue,Gnar,Lee Sin,Nidalee,Corki,Janna,Cassiopeia,Rek'Sai,Lissandra,,,1
5,FRA1TMNT1/450168,Red,Vladimir,Jarvan IV,Azir,Sivir,Annie,Rumble,Riven,Kassadin,,,0
6,FRA1TMNT1/450169,Blue,Lissandra,Rengar,Kassadin,Graves,Morgana,Lee Sin,Gnar,Jarvan IV,,,1
7,FRA1TMNT1/450169,Red,Rumble,Kha'Zix,Xerath,Corki,Leona,Rek'Sai,Zed,Irelia,,,0
8,FRA1TMNT1/450172,Blue,Gnar,Nautilus,Kassadin,Vayne,Morgana,Janna,Riven,Rumble,,,0
9,FRA1TMNT1/450172,Red,Irelia,Lee Sin,Nidalee,Kalista,Thresh,Cassiopeia,Lissandra,Rek'Sai,,,1
10,FRA1TMNT1/450174,Blue,Lissandra,Jarvan IV,Kassadin,Caitlyn,Nami,Zed,Irelia,Morgana,,,1
11,FRA1TMNT1/450174,Red,Maokai,Rek'Sai,Jayce,Sivir,Thresh,Lee Sin,Gnar,Janna,,,0
12,FRA1TMNT1/450187,Blue,Lissandra,Jarvan IV,Xerath,Corki,Janna,Thresh,Zed,Rek'Sai,,,0
13,FRA1TMNT1/450187,Red,Maokai,Vi,Ahri,Graves,Sona,Lee Sin,Syndra,Gnar,,,1
14,FRA1TMNT1/450188,Blue,Vladimir,Jarvan IV,Orianna,Sivir,Braum,Jax,Rek'Sai,LeBlanc,,,0
15,FRA1TMNT1/450188,Red,Irelia,Elise,Ahri,Graves,Janna,Malphite,Lissandra,Rengar,,,1
16,FRA1TMNT1/450191,Blue,Maokai,Vi,Ahri,Graves,Leona,Lee Sin,Syndra,Gnar,,,1
17,FRA1TMNT1/450191,Red,Renekton,Jarvan IV,Kassadin,Tristana,Sona,Thresh,Zed,Rek'Sai,,,0
18,FRA1TMNT1/450192,Blue,Akali,Rek'Sai,Orianna,Graves,Janna,Malphite,Lissandra,Rengar,,,1
19,FRA1TMNT1/450192,Red,Gnar,Vi,Ahri,Sivir,Thresh,Jax,LeBlanc,Irelia,,,0
20,FRA1TMNT1/450207,Blue,Lissandra,Jarvan IV,Zed,Corki,Nami,Irelia,Thresh,Gnar,,,1
21,FRA1TMNT1/450207,Red,Kassadin,Vi,Nidalee,Graves,Janna,Rek'Sai,Lee Sin,Jayce,,,0
22,FRA1TMNT1/450210,Blue,Jax,Pantheon,Kassadin,Sivir,Janna,Lee Sin,Lissandra,Jayce,,,0
23,FRA1TMNT1/450210,Red,Renekton,Elise,Zed,Ezreal,Thresh,Jarvan IV,Gnar,Rek'Sai,,,1
24,FRA1TMNT1/450283,Blue,Lissandra,Vi,Orianna,Sivir,Janna,Jarvan IV,Zed,Irelia,,,1
25,FRA1TMNT1/450283,Red,Maokai,Lee Sin,Kassadin,Graves,Thresh,Fiddlesticks,Rek'Sai,Gnar,,,0
26,FRA1TMNT1/450286,Blue,Gnar,Lee Sin,Fizz,Ezreal,Annie,Fiddlesticks,Rek'Sai,Sivir,,,1
27,FRA1TMNT1/450286,Red,Sion,Sejuani,Orianna,Graves,Janna,Jarvan IV,Irelia,Zed,,,0
28,FRA1TMNT1/450288,Blue,Lissandra,Rek'Sai,Zed,Kalista,Braum,Jarvan IV,Lee Sin,Irelia,,,1
29,FRA1TMNT1/450288,Red,Kassadin,Elise,Ahri,Graves,Thresh,Fiddlesticks,Sivir,Gnar,,,0
30,FRA1TMNT1/450295,Blue,Irelia,Jarvan IV,LeBlanc,Corki,Nami,Syndra,Sivir,Lee Sin,,,0
31,FRA1TMNT1/450295,Red,Gnar,Vi,Kassadin,Graves,Janna,Nidalee,Rek'Sai,Azir,,,1
32,FRA1TMNT1/450296,Blue,Rumble,Jarvan IV,Orianna,Tristana,Nami,Rek'Sai,Nidalee,Azir,,,1
33,FRA1TMNT1/450296,Red,Gnar,Lee Sin,Xerath,Sivir,Morgana,Syndra,LeBlanc,Janna,,,0
34,FRA1TMNT1/450314,Blue,Gnar,Elise,Azir,Graves,Janna,LeBlanc,Zed,Kassadin,,,1
35,FRA1TMNT1/450314,Red,Sion,Rek'Sai,Xerath,Sivir,Annie,Lee Sin,Lissandra,Jarvan IV,,,0
36,FRA1TMNT1/450316,Blue,Irelia,Lee Sin,Ahri,Graves,Janna,LeBlanc,Zed,Jarvan IV,,,0
37,FRA1TMNT1/450316,Red,Gnar,Vi,Kassadin,Sivir,Lulu,Rek'Sai,Azir,Rumble,,,1
38,FRA1TMNT1/450320,Blue,Irelia,Vi,Ahri,Corki,Annie,Azir,Rumble,Maokai,,,1
39,FRA1TMNT1/450320,Red,Dr. Mundo,Jarvan IV,Kassadin,Graves,Thresh,Zed,Gnar,Rek'Sai,,,0
40,FRA1TMNT1/450321,Blue,Rek'Sai,Rengar,Ahri,Graves,Nami,Lee Sin,Jarvan IV,Zed,,,0
41,FRA1TMNT1/450321,Red,Jax,Elise,Lissandra,Lucian,Janna,Kassadin,Azir,Gnar,,,1
42,FRA1TMNT1/450326,Blue,Gnar,Vi,Kassadin,Corki,Nami,,,Rek'Sai,,,1
43,FRA1TMNT1/450326,Red,Rumble,Rengar,Syndra,Sivir,Janna,Irelia,Zed,Jarvan IV,,,0
44,FRA1TMNT1/450327,Blue,Kassadin,Lee Sin,Azir,Graves,Thresh,Zed,Gnar,Jarvan IV,,,1
45,FRA1TMNT1/450327,Red,Irelia,Vi,Fizz,Corki,Janna,Rek'Sai,Nidalee,Sivir,,,0
46,FRA1TMNT1/450328,Blue,Lissandra,Jarvan IV,Ezreal,Corki,Thresh,Azir,Janna,Rek'Sai,,,1
47,FRA1TMNT1/450328,Red,Rumble,Lee Sin,Orianna,Sivir,Morgana,Gnar,Zed,Kassadin,,,0
48,FRA1TMNT1/460143,Blue,Maokai,Jarvan IV,LeBlanc,Sivir,Morgana,Janna,Kassadin,Rek'Sai,,,1
49,FRA1TMNT1/460143,Red,Gnar,Vi,Azir,Graves,Sona,Fizz,Lissandra,Irelia,,,0
50,FRA1TMNT1/460145,Blue,Lissandra,Lee Sin,Lux,Graves,Janna,Fizz,Irelia,LeBlanc,,,0
51,FRA1TMNT1/460145,Red,Gnar,Sejuani,Ahri,Sivir,Thresh,Azir,Rek'Sai,Jarvan IV,,,1
52,FRA1TMNT1/460214,Blue,Irelia,Jarvan IV,Syndra,Corki,Morgana,Wukong,Vel'Koz,Azir,,,1
53,FRA1TMNT1/460214,Red,Gnar,Rek'Sai,Lulu,Graves,Thresh,Rumble,LeBlanc,Janna,,,0
54,FRA1TMNT1/460215,Blue,Maokai,Rengar,Lulu,Sivir,Morgana,Rumble,Janna,Irelia,,,0
55,FRA1TMNT1/460215,Red,Gnar,Jarvan IV,Karthus,Graves,Soraka,Wukong,Azir,Syndra,,,1
56,FRA1TMNT1/460310,Blue,Jayce,Lee Sin,Lulu,Caitlyn,Janna,Syndra,Kassadin,Rek'Sai,,,1
57,FRA1TMNT1/460310,Red,Irelia,Jarvan IV,Azir,Sivir,Thresh,Gnar,Nidalee,Lissandra,,,0
58,FRA1TMNT1/460311,Blue,Gnar,Lee Sin,LeBlanc,Sivir,Lulu,,Jayce,Nidalee,,,0
59,FRA1TMNT1/460311,Red,Jarvan IV,Vi,Ahri,Caitlyn,Janna,Syndra,Rek'Sai,Kassadin,,,1
60,FRA1TMNT1/460337,Blue,Lissandra,Jarvan IV,Kassadin,Sivir,Nami,,Rengar,Azir,,,1
61,FRA1TMNT1/460337,Red,Irelia,Kha'Zix,Lulu,Corki,Janna,Rek'Sai,Rumble,Lee Sin,,,0
62,FRA1TMNT1/460340,Blue,Maokai,Kha'Zix,Xerath,Sivir,Karma,Rumble,Kassadin,Lee Sin,,,0
63,FRA1TMNT1/460340,Red,Lissandra,Jarvan IV,LeBlanc,Corki,Janna,Rengar,Azir,Rek'Sai,,,1
64,FRA1TMNT1/490026,Blue,Jax,Jarvan IV,Kassadin,Graves,Janna,Elise,Rek'Sai,Ahri,,,0
65,FRA1TMNT1/490026,Red,Fiora,Rengar,Lissandra,Corki,Braum,Azir,Malphite,Maokai,,,1
66,FRA1TMNT1/490044,Blue,Rumble,Vi,Azir,Kalista,Soraka,Zed,Kassadin,Lissandra,,,0
67,FRA1TMNT1/490044,Red,Renekton,Elise,Jayce,Sivir,Janna,Jarvan IV,Syndra,Gnar,,,1
68,FRA1TMNT1/490046,Blue,Maokai,Jarvan IV,Xerath,Sivir,Thresh,Irelia,Hecarim,Nidalee,,,0
69,FRA1TMNT1/490046,Red,Gnar,Rengar,Ahri,Kalista,Janna,Lissandra,Kassadin,Zed,,,1
70,FRA1TMNT1/490053,Blue,Sion,Rek'Sai,Orianna,Kalista,Braum,Lee Sin,Jarvan IV,Ahri,,,1
71,FRA1TMNT1/490053,Red,Gnar,Nunu & Willump,Kassadin,Caitlyn,Janna,Lissandra,Fiddlesticks,Zed,,,0
72,FRA1TMNT1/490054,Blue,Rumble,Rek'Sai,Zed,Graves,Annie,Lissandra,Fiddlesticks,Gnar,,,1
73,FRA1TMNT1/490054,Red,Sion,Skarner,LeBlanc,Kalista,Janna,Lee Sin,Jarvan IV,Ahri,,,0
74,FRA1TMNT1/490073,Blue,Sion,Vi,Azir,Graves,Janna,,,Kassadin,,,0
75,FRA1TMNT1/490073,Red,Lissandra,Lee Sin,Morgana,Sivir,Lulu,Nidalee,Ahri,Jarvan IV,,,1
76,FRA1TMNT1/490074,Blue,Rumble,Jarvan IV,Morgana,Jinx,Lulu,Ahri,Nidalee,Janna,,,1
77,FRA1TMNT1/490074,Red,Lissandra,Lee Sin,Zed,Graves,Braum,Sivir,Kassadin,Gnar,,,0
78,FRA1TMNT1/490139,Blue,Gnar,Rek'Sai,LeBlanc,Graves,Annie,Azir,Rengar,Ahri,,,0
79,FRA1TMNT1/490139,Red,Maokai,Lee Sin,Zed,Kalista,Janna,Jarvan IV,Kassadin,Lissandra,,,1
80,FRA1TMNT1/490142,Blue,Gnar,Jarvan IV,Azir,Jinx,Morgana,Irelia,Nidalee,Janna,,,0
81,FRA1TMNT1/490142,Red,Jax,Rek'Sai,Ahri,Corki,Braum,Kassadin,Kalista,Lissandra,,,1
82,FRA1TMNT1/490190,Blue,Irelia,Rengar,Lulu,Kalista,Sion,Lissandra,Rumble,Ahri,,,0
83,FRA1TMNT1/490190,Red,Morgana,Vi,Azir,Graves,Janna,Jarvan IV,Kassadin,Annie,,,1
