,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,2885-3123,Blue,Shen,Kha'Zix,Azir,Jhin,Alistar,None,None,None,None,None,0
1,2885-3123,Red,Camille,Rek'Sai,Zoe,Xayah,Rakan,None,None,None,None,None,1
2,2885-3124,Blue,Trundle,Jarvan IV,Azir,Caitlyn,Tahm Kench,Ornn,Ezreal,Kalista,Gangplank,Maokai,1
3,2885-3124,Red,Shen,Sejuani,Zoe,Jhin,Taric,Miss Fortune,Ryze,Camille,Gnar,Jayce,0
4,2886-3125,Blue,Gangplank,Gragas,Taliyah,Miss Fortune,Tahm Kench,Ryze,Ornn,Jarvan IV,LeBlanc,Draven,0
5,2886-3125,Red,Camille,Kha'Zix,Orianna,Jhin,Shen,Azir,Ezreal,Sejuani,Rengar,Shyvana,1
6,2886-3126,Blue,Vladimir,Jarvan IV,Azir,Kalista,Braum,Ezreal,Miss Fortune,Gangplank,Malzahar,Kassadin,1
7,2886-3126,Red,Camille,Sejuani,Xerath,Jhin,Shen,Ornn,Ryze,Tahm Kench,Taric,Janna,0
8,2887-3127,Blue,Gnar,Sejuani,Kassadin,Miss Fortune,Tahm Kench,Azir,Vladimir,Ezreal,Thresh,Shen,0
9,2887-3127,Red,Maokai,Jarvan IV,Zoe,Kalista,Braum,Ryze,Camille,Ornn,Malzahar,Jayce,1
10,2887-3128,Blue,Ornn,Rengar,Corki,Ezreal,Alistar,Ryze,Camille,Jarvan IV,Illaoi,Kassadin,1
11,2887-3128,Red,Maokai,Kha'Zix,Malzahar,Jhin,Tahm Kench,Azir,Sejuani,Miss Fortune,Shen,Zoe,0
12,2888-3129,Blue,Maokai,Lee Sin,Azir,Ezreal,Braum,Rengar,Jarvan IV,Kassadin,Shen,Gnar,0
13,2888-3129,Red,Cho'Gath,Kha'Zix,Malzahar,Miss Fortune,Alistar,Tahm Kench,Sejuani,Ornn,Jayce,Camille,1
14,2888-3130,Blue,Shen,Kha'Zix,Malzahar,Kalista,Gragas,None,None,None,None,None,1
15,2888-3130,Red,Gangplank,Lee Sin,Azir,Miss Fortune,Tahm Kench,None,None,None,None,None,0
16,2889-3131,Blue,Ornn,Sejuani,Jayce,Ezreal,Shen,Vladimir,Malzahar,Azir,Illaoi,Gangplank,0
17,2889-3131,Red,Camille,Jarvan IV,Ryze,Draven,Braum,Zoe,Miss Fortune,Xayah,Taliyah,Orianna,1
18,2889-3132,Blue,Ryze,Zac,Vladimir,Kalista,Taric,Zoe,Ornn,Xayah,Orianna,Kassadin,0
19,2889-3132,Red,Gnar,Jarvan IV,Malzahar,Miss Fortune,Tahm Kench,Azir,Camille,Draven,Kha'Zix,Braum,1
20,2889-3133,Blue,Ornn,Rengar,Orianna,Ezreal,Braum,Zoe,Malzahar,Miss Fortune,Shen,Illaoi,1
21,2889-3133,Red,Gangplank,Sejuani,Ryze,Draven,Tahm Kench,Azir,Camille,Vladimir,Jarvan IV,Kha'Zix,0
22,2890-3134,Blue,Maokai,Kha'Zix,Azir,Ezreal,Alistar,None,None,None,None,None,1
23,2890-3134,Red,Shen,Jarvan IV,Vladimir,Miss Fortune,Rakan,None,None,None,None,None,0
24,2890-3135,Blue,Maokai,Sejuani,Azir,Sivir,Alistar,Zoe,Camille,Tahm Kench,Braum,Illaoi,0
25,2890-3135,Red,Cho'Gath,Jarvan IV,Ryze,Ezreal,Leona,Malzahar,Ornn,Shen,Kalista,Miss Fortune,1
26,2891-3136,Blue,Camille,Jarvan IV,Zoe,Kog'Maw,Braum,Miss Fortune,Gangplank,Shen,Jax,Gnar,1
27,2891-3136,Red,Fiora,Sejuani,Kassadin,Ezreal,Bard,Azir,Ornn,Kalista,Jhin,Sivir,0
28,2891-3137,Blue,Maokai,Rengar,Ryze,Kalista,Braum,Zoe,Malzahar,Camille,Xayah,Taric,0
