,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,11715-11715_game_1,Blue,K'Sante,Viego,Aurora,Ashe,Braum,Jayce,Poppy,Rumble,Rakan,Rell,1
1,11715-11715_game_1,Red,Gnar,Nocturne,Orianna,Varus,Neeko,Skarner,Vi,Kalista,Xin Zhao,Wukong,0
2,11715-11715_game_2,Blue,Rumble,Maokai,Ambessa,Jhin,Rell,Caitlyn,Vi,Xin Zhao,Poppy,Alistar,0
3,11715-11715_game_2,Red,Jayce,Wukong,Viktor,Miss Fortune,Rakan,Kalista,Skarner,Corki,Sejuani,Yone,1
4,11715-11715_game_3,Blue,Aatrox,Zyra,Yone,Ziggs,Leona,Vi,Caitlyn,Xin Zhao,Akali,Alistar,0
5,11715-11715_game_3,Red,Jax,Sejuani,Sylas,Jinx,Poppy,Skarner,Kalista,Corki,Kai'Sa,Renekton,1
6,11716-11716_game_1,Blue,K'Sante,Pantheon,Vladimir,Kalista,Neeko,Galio,Nocturne,Varus,Corki,Miss Fortune,1
7,11716-11716_game_1,Red,Rumble,Vi,Aurora,Ezreal,Leona,Skarner,Ashe,Renata Glasc,Akali,Viktor,0
8,11716-11716_game_2,Blue,Gnar,Wukong,Akali,Kai'Sa,Rakan,Jayce,Renata Glasc,Poppy,Xin Zhao,Jax,1
9,11716-11716_game_2,Red,Renekton,Lee Sin,Taliyah,Corki,Rell,Skarner,Ashe,Varus,Miss Fortune,Gragas,0
10,11716-11716_game_3,Blue,Jax,Volibear,Yone,Ashe,Braum,Sejuani,Nocturne,Poppy,Udyr,Lulu,0
11,11716-11716_game_3,Red,Gragas,Xin Zhao,Viktor,Varus,Karma,Skarner,Renata Glasc,Ambessa,Zac,Zyra,1
12,11716-11716_game_4,Blue,Ambessa,Sejuani,Sylas,Twitch,Lulu,Udyr,Maokai,Caitlyn,Renata Glasc,Pyke,0
13,11716-11716_game_4,Red,Poppy,Viego,Azir,Jinx,Blitzcrank,Skarner,Miss Fortune,Nocturne,Draven,Nautilus,1
14,11717-11717_game_1,Blue,Jax,Viego,Orianna,Ashe,Braum,Skarner,Nocturne,Varus,Wukong,Xin Zhao,0
15,11717-11717_game_1,Red,K'Sante,Vi,Aurora,Kalista,Neeko,Viktor,Corki,Rumble,Galio,Jayce,1
16,11717-11717_game_2,Blue,Ambessa,Lee Sin,Akali,Varus,Nautilus,Nocturne,Skarner,Galio,Leona,Rell,1
17,11717-11717_game_2,Red,Jayce,Wukong,Sylas,Miss Fortune,Rakan,Viktor,Corki,Rumble,LeBlanc,Kindred,0
18,11717-11717_game_3,Blue,Gnar,Sejuani,Taliyah,Jinx,Rell,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,0
19,11717-11717_game_3,Red,Renekton,Xin Zhao,Ahri,Aphelios,Thresh,Skarner,Corki,Rumble,Yone,Tristana,1
20,11717-11717_game_4,Blue,Udyr,Nidalee,Corki,Sivir,Leona,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,0
21,11717-11717_game_4,Red,Aatrox,Karthus,Yone,Tristana,Alistar,Skarner,Ezreal,Rumble,Xayah,Ziggs,1
22,11718-11718_game_1,Blue,K'Sante,Wukong,Akali,Ashe,Braum,Orianna,Poppy,Kalista,Rakan,Jayce,0
23,11718-11718_game_1,Red,Ambessa,Vi,Aurora,Varus,Rell,Skarner,Rumble,Nocturne,Zyra,Viktor,1
24,11718-11718_game_2,Blue,Galio,Viego,Sylas,Kalista,Neeko,Orianna,LeBlanc,Xin Zhao,Leona,Poppy,1
25,11718-11718_game_2,Red,Rumble,Lee Sin,Viktor,Miss Fortune,Nautilus,Skarner,Zyra,Yone,Nocturne,Renata Glasc,0
26,11718-11718_game_3,Blue,Jax,Pantheon,Ahri,Corki,Rakan,Yone,Jayce,Nocturne,Jinx,Jhin,1
27,11718-11718_game_3,Red,Gragas,Xin Zhao,Taliyah,Ezreal,Leona,Skarner,Orianna,Caitlyn,Sejuani,Zyra,0
28,11718-11718_game_4,Blue,Udyr,Kindred,Orianna,Xayah,Bard,Caitlyn,Draven,Jayce,Thresh,Renekton,0
29,11718-11718_game_4,Red,Gnar,Nocturne,Syndra,Jinx,Blitzcrank,Yone,Skarner,Maokai,Alistar,Ornn,1
30,11719-11719_game_1,Blue,K'Sante,Lee Sin,Aurora,Varus,Rell,Ashe,Kalista,Viktor,Leona,Nocturne,0
31,11719-11719_game_1,Red,Jayce,Wukong,Akali,Corki,Rakan,Skarner,Rumble,Vi,Renata Glasc,Poppy,1
32,11719-11719_game_2,Blue,Udyr,Sejuani,Yone,Jinx,Braum,Ashe,Viktor,Kalista,Renekton,Leona,0
33,11719-11719_game_2,Red,Ambessa,Xin Zhao,Sylas,Miss Fortune,Bard,Skarner,Vi,Rumble,Kai'Sa,Draven,1
34,11719-11719_game_3,Blue,Rumble,Viego,Ahri,Xayah,Leona,Ashe,Viktor,Kalista,Poppy,Caitlyn,0
35,11719-11719_game_3,Red,Galio,Nocturne,LeBlanc,Kai'Sa,Alistar,Skarner,Vi,Draven,Jhin,Renata Glasc,1
36,11720-11720_game_1,Blue,Rumble,Viego,Viktor,Varus,Rell,Kalista,Vi,Galio,Leona,Yone,0
37,11720-11720_game_1,Red,K'Sante,Zyra,Corki,Miss Fortune,Alistar,Ashe,Skarner,Nocturne,Xin Zhao,Wukong,1
38,11720-11720_game_2,Blue,Ambessa,Xin Zhao,Aurora,Xayah,Poppy,Kalista,Caitlyn,Ashe,Braum,Taliyah,0
39,11720-11720_game_2,Red,Jayce,Vi,Vladimir,Ezreal,Leona,Skarner,Nocturne,Wukong,Rakan,Kai'Sa,1
40,11720-11720_game_3,Blue,Gangplank,Lee Sin,Taliyah,Ashe,Braum,Caitlyn,Kalista,Sejuani,Sylas,Jax,0
41,11720-11720_game_3,Red,Gnar,Wukong,Swain,Jhin,Rakan,Ambessa,Skarner,Nocturne,LeBlanc,Renekton,1
42,11721-11721_game_1,Blue,K'Sante,Nocturne,Orianna,Corki,Leona,Rumble,Akali,Udyr,Sejuani,Wukong,1
43,11721-11721_game_1,Red,Jayce,Rengar,Viktor,Varus,Rakan,Skarner,Kalista,Vi,Ashe,Miss Fortune,0
44,11721-11721_game_2,Blue,Renekton,Wukong,Aurora,Ezreal,Braum,Kalista,Akali,Yone,Taliyah,Sylas,0
45,11721-11721_game_2,Red,Gnar,Vi,Vladimir,Miss Fortune,Alistar,Skarner,Rumble,Ashe,Kai'Sa,Poppy,1
46,11721-11721_game_3,Blue,Aatrox,Sejuani,Yone,Ziggs,Pyke,Kalista,Akali,LeBlanc,Ambessa,Tristana,0
47,11721-11721_game_3,Red,Camille,Zyra,Smolder,Ashe,Rell,Rumble,Skarner,Udyr,Jax,Nautilus,1
48,11722-11722_game_1,Blue,K'Sante,Xin Zhao,Viktor,Miss Fortune,Leona,Nocturne,Vi,Corki,Rakan,Rell,1
49,11722-11722_game_1,Red,Maokai,Wukong,Akali,Varus,Braum,Skarner,Rumble,Kalista,Ashe,Poppy,0
50,11722-11722_game_2,Blue,Ambessa,Zyra,Jayce,Jhin,Nautilus,Kalista,Nocturne,Aurora,Gnar,Orianna,1
51,11722-11722_game_2,Red,Karma,Vi,Taliyah,Ashe,Rell,Rumble,Skarner,Corki,Poppy,Renekton,0
52,11722-11722_game_3,Blue,Jax,Nocturne,Aurora,Jinx,Lulu,Galio,Udyr,Corki,Nilah,Blitzcrank,0
53,11722-11722_game_3,Red,Renekton,Viego,Ryze,Kai'Sa,Rakan,Kalista,Skarner,Rumble,Thresh,Ornn,1
54,11722-11722_game_4,Blue,Gragas,Pantheon,Azir,Corki,Poppy,Galio,Karthus,Sylas,Lillia,Blitzcrank,0
55,11722-11722_game_4,Red,Udyr,Brand,Lee Sin,Ezreal,Alistar,Kalista,Skarner,Rumble,Gnar,Neeko,1
56,11723-11723_game_1,Blue,K'Sante,Nidalee,Jayce,Ziggs,Leona,Corki,Ashe,Vi,Nocturne,Wukong,1
57,11723-11723_game_1,Red,Rumble,Xin Zhao,Aurora,Varus,Rell,Skarner,Kalista,Viktor,Ezreal,Miss Fortune,0
58,11723-11723_game_2,Blue,Renekton,Lillia,Yone,Xayah,Rakan,Corki,Ashe,Akali,Caitlyn,Ezreal,0
59,11723-11723_game_2,Red,Maokai,Zyra,Ambessa,Jinx,Nautilus,Skarner,Kalista,Viktor,Miss Fortune,Jhin,1
60,11723-11723_game_3,Blue,Jax,Vi,Tryndamere,Kai'Sa,Elise,Poppy,Corki,Orianna,Udyr,Malphite,0
61,11723-11723_game_3,Red,Ornn,Wukong,Viktor,Ezreal,Galio,Skarner,Kalista,Ashe,Akali,Sylas,1
62,11724-11724_game_1,Blue,K'Sante,Wukong,Taliyah,Varus,Rakan,Rumble,Aurora,Kalista,Zyra,Jayce,1
63,11724-11724_game_1,Red,Poppy,Vi,Ahri,Ashe,Braum,Skarner,Viktor,Corki,Neeko,Renata Glasc,0
64,11724-11724_game_2,Blue,Ornn,Xin Zhao,Aurora,Ezreal,Leona,Viktor,Corki,Nocturne,Rell,Alistar,1
65,11724-11724_game_2,Red,Jayce,Lee Sin,Vladimir,Miss Fortune,Elise,Kalista,Rumble,Skarner,Ambessa,Gragas,0
66,11724-11724_game_3,Blue,Rumble,Viego,Ryze,Xayah,Rell,Nocturne,Kalista,Galio,Alistar,Nautilus,0
67,11724-11724_game_3,Red,Ambessa,Sejuani,Akali,Jinx,Lulu,Skarner,Viktor,Corki,LeBlanc,Jhin,1
68,11724-11724_game_4,Blue,Renekton,Kha'Zix,LeBlanc,Kalista,Neeko,Caitlyn,Nocturne,Yone,Gnar,Jax,0
69,11724-11724_game_4,Red,Sion,Zyra,Yasuo,Ziggs,Nautilus,Skarner,Viktor,Corki,Pantheon,Maokai,1
70,11725-11725_game_1,Blue,Rumble,Sejuani,Yone,Ezreal,Rell,Ashe,Zyra,Varus,Braum,Akali,1
71,11725-11725_game_1,Red,Galio,Xin Zhao,Aurora,Corki,Leona,Skarner,Kalista,Vi,Draven,Alistar,0
72,11725-11725_game_2,Blue,K'Sante,Wukong,Akali,Kai'Sa,Rakan,Vi,Kalista,Udyr,Renata Glasc,Poppy,0
73,11725-11725_game_2,Red,Ambessa,Lee Sin,Taliyah,Varus,Nautilus,Skarner,Zyra,Nocturne,Ashe,Miss Fortune,1
74,11725-11725_game_3,Blue,Ornn,Nocturne,Viktor,Caitlyn,Bard,Kalista,Vi,Udyr,Viego,Braum,0
75,11725-11725_game_3,Red,Jax,Pantheon,Orianna,Ashe,Seraphine,Skarner,Jayce,Zyra,Jhin,Jinx,1
76,11726-11726_game_1,Blue,Ornn,Vi,Aurora,Ezreal,Alistar,Jayce,Zyra,Ambessa,Sejuani,Yone,0
77,11726-11726_game_1,Red,Rumble,Xin Zhao,Galio,Corki,Rell,Skarner,Kalista,K'Sante,Rakan,Renata Glasc,1
78,11726-11726_game_2,Blue,K'Sante,Viego,Hwei,Ashe,Renata Glasc,Jayce,Zyra,Varus,Rakan,Ziggs,1
79,11726-11726_game_2,Red,Ambessa,Wukong,Akali,Jhin,Neeko,Skarner,Draven,Kalista,Nocturne,Lee Sin,0
80,11726-11726_game_3,Blue,Gnar,Pantheon,Orianna,Ziggs,Leona,Nocturne,Nautilus,Varus,Lee Sin,Poppy,1
81,11726-11726_game_3,Red,Renekton,Sejuani,Viktor,Miss Fortune,Maokai,Skarner,Jayce,Yone,Sylas,Taliyah,0
82,11726-11726_game_4,Blue,Urgot,Lee Sin,Azir,Tristana,Lulu,Yone,Nocturne,Karma,Rakan,Nautilus,0
83,11726-11726_game_4,Red,Jax,Volibear,Sylas,Jinx,Seraphine,Skarner,Varus,Jayce,Draven,Caitlyn,1
84,11727-11727_game_1,Blue,K'Sante,Viego,Aurora,Miss Fortune,Rell,Ashe,Varus,Rumble,Leona,Alistar,1
85,11727-11727_game_1,Red,Ambessa,Zyra,Jayce,Ziggs,Nautilus,Skarner,Kalista,Corki,Nocturne,Vi,0
86,11727-11727_game_2,Blue,Rumble,Vi,Yone,Ezreal,Braum,Caitlyn,Kalista,Gnar,Rakan,Renata Glasc,0
87,11727-11727_game_2,Red,Galio,Xin Zhao,Corki,Varus,Elise,Skarner,Leona,Nocturne,Ashe,Kai'Sa,1
88,11727-11727_game_3,Blue,Poppy,Nocturne,Akali,Jinx,Alistar,Caitlyn,Rakan,Neeko,Sylas,Renata Glasc,0
89,11727-11727_game_3,Red,Jax,Pantheon,Azir,Xayah,Bard,Skarner,Kalista,Ashe,Renekton,Gnar,1
90,11728-11728_game_1,Blue,Jayce,Zyra,Corki,Kai'Sa,Maokai,Jax,K'Sante,Kalista,Varus,Ashe,0
91,11728-11728_game_1,Red,Ambessa,Karthus,Yone,Ezreal,Nautilus,Skarner,Leona,Nocturne,Alistar,Rell,1
92,11728-11728_game_2,Blue,Ornn,Nocturne,Akali,Kalista,Renata Glasc,Jax,Pantheon,Galio,Gnar,Sylas,1
93,11728-11728_game_2,Red,Udyr,Wukong,Azir,Varus,Neeko,Skarner,K'Sante,Rumble,Orianna,Aurora,0
94,11728-11728_game_3,Blue,Jax,Kindred,Galio,Ashe,Alistar,Viktor,Ziggs,Aurora,Taliyah,Sylas,0
95,11728-11728_game_3,Red,Gragas,Vi,Swain,Miss Fortune,Rell,Rumble,K'Sante,Skarner,Poppy,Braum,1
96,11728-11728_game_4,Blue,Renekton,Zac,Zeri,Caitlyn,Braum,Pantheon,Viktor,None,Sylas,Gnar,1
97,11728-11728_game_4,Red,Volibear,Xin Zhao,Smolder,Ziggs,Leona,Skarner,K'Sante,Rumble,Nidalee,Lillia,0
98,11729-11729_game_1,Blue,K'Sante,Viego,Aurora,Miss Fortune,Leona,Nocturne,Zyra,Kalista,Ziggs,Yone,1
99,11729-11729_game_1,Red,Jayce,Sejuani,Viktor,Corki,Rell,Skarner,Rumble,Varus,Ashe,Ezreal,0
100,11729-11729_game_2,Blue,Udyr,Wukong,Orianna,Ashe,Renata Glasc,Galio,Zyra,Varus,Akali,Sylas,0
101,11729-11729_game_2,Red,Maokai,Nocturne,Ryze,Jhin,Rakan,Skarner,Rumble,Kalista,Gnar,Braum,1
102,11729-11729_game_3,Blue,Ornn,Karthus,Tristana,Varus,Nautilus,Galio,Ambessa,Ezreal,Alistar,Braum,0
103,11729-11729_game_3,Red,Renekton,Zyra,Sylas,Sivir,Neeko,Skarner,Rumble,Kalista,Yone,Jax,1
104,11730-11730_game_1,Blue,K'Sante,Nocturne,Orianna,Xayah,Nautilus,Aurora,Kalista,Rumble,Ahri,Taliyah,0
105,11730-11730_game_1,Red,Ambessa,Vi,Jayce,Kai'Sa,Rakan,Skarner,Nidalee,Corki,Varus,Ashe,1
106,11730-11730_game_2,Blue,Renekton,Nidalee,Hwei,Miss Fortune,Leona,Aurora,Galio,Kalista,Ashe,Rell,1
