,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,4268-5346,Blue,Aatrox,Kayn,Lissandra,Sivir,Thresh,Galio,Irelia,Gragas,Alistar,Fiddlesticks,1
1,4268-5346,Red,Urgot,Sejuani,Akali,Kai'Sa,Braum,Cassiopeia,Lucian,Rakan,Kalista,Caitlyn,0
2,4268-5347,Blue,Camille,Sejuani,Irelia,Ezreal,Thresh,Rakan,LeBlanc,Lissandra,Gragas,Urgot,0
3,4268-5347,Red,Vladimir,Zac,Jayce,Kai'Sa,Alistar,Cassiopeia,Lucian,Aatrox,Morgana,Viktor,1
4,4269-5348,Blue,Urgot,Sejuani,Yasuo,Varus,Tahm Kench,Caitlyn,Camille,Lucian,Alistar,Thresh,1
5,4269-5348,Red,Sion,Gragas,Irelia,Kai'Sa,Nautilus,Aatrox,Akali,Cassiopeia,Viktor,Kled,0
6,4269-5349,Blue,Urgot,Gragas,Kled,Kai'Sa,Braum,Caitlyn,Camille,Lucian,Vayne,Viktor,1
7,4269-5349,Red,Sion,Sejuani,Irelia,Kalista,Thresh,Aatrox,Akali,Cassiopeia,Alistar,Yasuo,0
8,4270-5350,Blue,Aatrox,Xin Zhao,Syndra,Xayah,Rakan,Lissandra,Galio,Cassiopeia,Ezreal,Nocturne,1
9,4270-5350,Red,Sion,Lee Sin,Zilean,Viktor,Tahm Kench,Irelia,Camille,Akali,LeBlanc,Gragas,0
10,4270-5351,Blue,Aatrox,Nidalee,Aurelion Sol,Caitlyn,Morgana,Irelia,Camille,Lucian,LeBlanc,Syndra,0
11,4270-5351,Red,Akali,Xin Zhao,Zoe,Kai'Sa,Rakan,Lissandra,Cassiopeia,Nocturne,Galio,Lee Sin,1
12,4271-5352,Blue,Kled,Camille,Galio,Sivir,Tahm Kench,Irelia,Lucian,Akali,Zoe,Yasuo,1
