Champion,counters champ,champ counters
caitlyn,"('Smolder', 48)","('Draven', 56)"
caitlyn,"('Xayah', 50)","('Samira', 58)"
caitlyn,"('Zeri', 50)","(""Kai'Sa"", 58)"
caitlyn,"('Jinx', 51)","('Twitch', 58)"
lee-sin,"('Sivir', 47)","('Aphelios', 56)"
lee-sin,"('Smolder', 48)","('Draven', 56)"
lee-sin,"('Xayah', 50)","('Samira', 58)"
lee-sin,"('Zeri', 50)","(""Kai'Sa"", 58)"
lee-sin,"('Jinx', 51)","('Twitch', 58)"
sylas,"('Sivir', 47)","('Aphelios', 56)"
sylas,"('Smolder', 48)","('Draven', 56)"
sylas,"('Xayah', 50)","('Samira', 58)"
sylas,"('Zeri', 50)","(""Kai'Sa"", 58)"
sylas,"('Jinx', 51)","('Twitch', 58)"
viego,"('Sivir', 47)","('Aphelios', 56)"
viego,"('Smolder', 48)","('Draven', 56)"
viego,"('Xayah', 50)","('Samira', 58)"
viego,"('Zeri', 50)","(""Kai'Sa"", 58)"
viego,"('Jinx', 51)","('Twitch', 58)"
nautilus,"('Sivir', 47)","('Aphelios', 56)"
nautilus,"('Smolder', 48)","('Draven', 56)"
nautilus,"('Xayah', 50)","('Samira', 58)"
nautilus,"('Zeri', 50)","(""Kai'Sa"", 58)"
nautilus,"('Jinx', 51)","('Twitch', 58)"
ambessa,"('Sivir', 47)","('Aphelios', 56)"
ambessa,"('Smolder', 48)","('Draven', 56)"
ambessa,"('Xayah', 50)","('Samira', 58)"
ambessa,"('Zeri', 50)","(""Kai'Sa"", 58)"
ambessa,"('Jinx', 51)","('Twitch', 58)"
aurora,"('Sivir', 47)","('Aphelios', 56)"
aurora,"('Smolder', 48)","('Draven', 56)"
aurora,"('Xayah', 50)","('Samira', 58)"
aurora,"('Zeri', 50)","(""Kai'Sa"", 58)"
aurora,"('Jinx', 51)","('Twitch', 58)"
gragas,"('Sivir', 47)","('Aphelios', 56)"
gragas,"('Smolder', 48)","('Draven', 56)"
gragas,"('Xayah', 50)","('Samira', 58)"
gragas,"('Zeri', 50)","(""Kai'Sa"", 58)"
gragas,"('Jinx', 51)","('Twitch', 58)"
hwei,"('Sivir', 47)","('Aphelios', 56)"
hwei,"('Smolder', 48)","('Draven', 56)"
