Champion,counters champ,champ counters
kled,"('Sett', 51)","('Aatrox', 54)"
taric,"('Nami', 46)","('Nautilus', 59)"
taric,"('Lulu', 49)","('Blitzcrank', 58)"
taric,"('Rakan', 49)","('Braum', 55)"
taric,"('Lux', 50)","('Leona', 55)"
taric,"('Karma', 50)","('Janna', 54)"
lulu,"('Bard', 48)","('Mel', 60)"
lulu,"(""Vel'Koz"", 48)","('Swain', 55)"
lulu,"('Milio', 48)","('Neeko', 54)"
lulu,"('Nami', 49)","('Alistar', 54)"
lulu,"('Thresh', 49)","('Pantheon', 54)"
thresh,"(""Vel'Koz"", 46)","('Pyke', 54)"
thresh,"('Braum', 47)","('Poppy', 54)"
thresh,"('Morgana', 47)","('Mel', 54)"
thresh,"('Taric', 48)","('Xerath', 53)"
thresh,"('Renata Glasc', 49)","('Blitzcrank', 53)"
diana,"('Yorick', 45)","('Gragas', 57)"
diana,"('Master Yi', 46)","('Nidalee', 56)"
diana,"('Briar', 46)","(""Kha'Zix"", 56)"
diana,"('Gwen', 46)","('Talon', 54)"
diana,"(""Bel'Veth"", 47)","('Ivern', 54)"
darius,"('Cassiopeia', 42)","('Tryndamere', 55)"
darius,"('Teemo', 43)","('Trundle', 55)"
darius,"('Kayle', 44)","(""K'Sante"", 55)"
darius,"('Quinn', 46)","('Tahm Kench', 55)"
darius,"('Sett', 46)","('Fiora', 54)"
garen,"('Camille', 45)","('Poppy', 59)"
garen,"('Kayle', 46)","('Gwen', 57)"
garen,"('Teemo', 47)","('Jax', 57)"
garen,"('Quinn', 47)","(""K'Sante"", 57)"
garen,"('Darius', 47)","('Yone', 57)"
miss-fortune,"('Nilah', 44)","('Kalista', 57)"
miss-fortune,"(""Kog'Maw"", 49)","('Smolder', 54)"
miss-fortune,"('Samira', 49)","('Lucian', 54)"
miss-fortune,"('Jinx', 49)","('Aphelios', 53)"
miss-fortune,"('Draven', 50)","('Ziggs', 53)"
ahri,"('Vex', 47)","('Yone', 54)"
ahri,"('Kassadin', 47)","('Katarina', 54)"
ahri,"('Naafiri', 48)","(""Vel'Koz"", 53)"
ahri,"('Veigar', 48)","('Hwei', 53)"
ahri,"('Diana', 48)","('Azir', 53)"
chogath,"('Kled', 42)","('Teemo', 56)"
chogath,"('Urgot', 44)","('Pantheon', 56)"
chogath,"('Gwen', 44)","('Jax', 55)"
chogath,"('Fiora', 44)","('Renekton', 55)"
chogath,"('Sett', 46)","('Gragas', 55)"
elise,"('Yorick', 42)","('Skarner', 58)"
elise,"('Nocturne', 43)","('Gragas', 56)"
elise,"('Amumu', 45)","('Nidalee', 56)"
elise,"(""Kha'Zix"", 45)","('Master Yi', 55)"
elise,"('Shaco', 46)","('Talon', 55)"
galio,"('Taliyah', 45)","('Diana', 56)"
galio,"(""Cho'Gath"", 46)","('Zoe', 56)"
galio,"('Swain', 46)","('Akali', 56)"
galio,"('Lux', 48)","('Naafiri', 56)"
galio,"(""Vel'Koz"", 48)","('Sylas', 55)"
master-yi,"('Elise', 45)","('Gragas', 58)"
master-yi,"('Yorick', 45)","('Skarner', 56)"
master-yi,"('Wukong', 47)","('Karthus', 56)"
master-yi,"('Xin Zhao', 47)","('Nidalee', 56)"
master-yi,"('Rammus', 48)","(""Bel'Veth"", 55)"
xerath,"('Irelia', 44)","('Mel', 58)"
xerath,"('Akshan', 45)","('Orianna', 58)"
xerath,"('Fizz', 46)","('Azir', 58)"
xerath,"(""Cho'Gath"", 46)","('Lissandra', 55)"
xerath,"('Annie', 47)","('Lux', 54)"
yuumi,"('Braum', 46)","('Shaco', 59)"
yuumi,"('Taric', 47)","('Swain', 58)"
yuumi,"('Rell', 47)","('Mel', 57)"
yuumi,"('Leona', 48)","('Xerath', 57)"
yuumi,"('Elise', 48)","('Morgana', 55)"
irelia,"('Sett', 43)","('Kayle', 56)"
irelia,"('Volibear', 43)","('Kennen', 56)"
irelia,"('Nasus', 43)","('Gnar', 55)"
irelia,"('Warwick', 44)","('Jayce', 55)"
irelia,"('Jax', 46)","('Gangplank', 55)"
jarvan-iv,"('Fiddlesticks', 45)","('Zed', 58)"
jarvan-iv,"('Gwen', 46)","('Lillia', 56)"
jarvan-iv,"('Shyvana', 47)","('Zyra', 56)"
jarvan-iv,"('Talon', 47)","('Zac', 55)"
jarvan-iv,"('Xin Zhao', 48)","('Ivern', 55)"
malphite,"('Dr. Mundo', 43)","('Fiora', 57)"
malphite,"('Ornn', 44)","('Trundle', 56)"
malphite,"('Shen', 45)","('Tryndamere', 56)"
malphite,"('Sion', 45)","('Kayle', 56)"
malphite,"('Mordekaiser', 47)","('Ambessa', 55)"
swain,"('Yuumi', 42)","('Bard', 55)"
swain,"('Karma', 42)","('Blitzcrank', 55)"
swain,"('Zilean', 42)","('Nautilus', 55)"
swain,"('Janna', 43)","('Tahm Kench', 54)"
swain,"(""Vel'Koz"", 44)","('Leona', 54)"
syndra,"('Diana', 46)","('Talon', 55)"
syndra,"('Irelia', 46)","('Azir', 55)"
syndra,"('Ryze', 47)","('Mel', 55)"
syndra,"('Taliyah', 47)","('Qiyana', 55)"
syndra,"('Kayle', 47)","('Lissandra', 55)"
vladimir,"('Malzahar', 44)","('Talon', 56)"
vladimir,"('Orianna', 44)","('Mel', 56)"
vladimir,"('Cassiopeia', 45)","('Fizz', 56)"
vladimir,"('Anivia', 45)","('Yone', 55)"
vladimir,"('Zoe', 46)","('Katarina', 55)"
wukong,"('Lillia', 44)","('Gragas', 57)"
wukong,"('Amumu', 46)","(""Kha'Zix"", 55)"
wukong,"('Karthus', 46)","('Skarner', 55)"
wukong,"('Yorick', 46)","('Nidalee', 54)"
wukong,"('Gwen', 47)","('Nocturne', 54)"
soraka,"('Pantheon', 47)","('Mel', 59)"
soraka,"('Senna', 48)","('Leona', 57)"
soraka,"('Nami', 48)","('Neeko', 55)"
soraka,"('Morgana', 48)","('Swain', 55)"
soraka,"('Maokai', 49)","('Xerath', 55)"
teemo,"(""Cho'Gath"", 44)","('Renekton', 58)"
teemo,"('Cassiopeia', 44)","('Volibear', 58)"
teemo,"('Ryze', 45)","('Darius', 57)"
teemo,"('Sion', 45)","('Gragas', 57)"
teemo,"('Kennen', 47)","('Ambessa', 56)"
xin-zhao,"('Rammus', 47)","('Zyra', 59)"
xin-zhao,"('Gragas', 47)","('Nidalee', 56)"
xin-zhao,"('Volibear', 47)","('Evelynn', 56)"
xin-zhao,"('Wukong', 47)","('Pantheon', 55)"
xin-zhao,"('Nocturne', 47)","('Talon', 54)"
yorick,"('Warwick', 43)","('Vladimir', 58)"
yorick,"('Kayle', 43)","('Pantheon', 57)"
yorick,"('Sett', 43)","(""K'Sante"", 57)"
yorick,"('Gwen', 44)","('Illaoi', 57)"
yorick,"('Irelia', 46)","('Riven', 56)"
bard,"('Swain', 45)","('Neeko', 59)"
bard,"('Elise', 45)","('Mel', 56)"
bard,"('Poppy', 46)","('Pyke', 54)"
bard,"('Pantheon', 47)","('Brand', 54)"
bard,"('Zyra', 47)","('Morgana', 53)"
briar,"('Rammus', 44)","('Nidalee', 58)"
briar,"('Nocturne', 46)","('Skarner', 56)"
briar,"('Kayn', 47)","('Ekko', 55)"
briar,"('Wukong', 47)","('Zed', 55)"
briar,"('Zac', 48)","('Gragas', 55)"
fiddlesticks,"('Warwick', 45)","('Hecarim', 56)"
fiddlesticks,"('Briar', 47)","('Kayn', 55)"
fiddlesticks,"('Amumu', 47)","('Jarvan IV', 55)"
fiddlesticks,"('Udyr', 48)","('Shaco', 55)"
fiddlesticks,"('Lee Sin', 49)","('Graves', 54)"
nunu-willump,"('Zac', 46)","('Rengar', 58)"
nunu-willump,"('Fiddlesticks', 47)","('Gwen', 57)"
nunu-willump,"('Briar', 47)","('Zed', 56)"
nunu-willump,"('Sejuani', 49)","('Skarner', 56)"
nunu-willump,"('Amumu', 49)","('Gragas', 55)"
riven,"('Quinn', 41)","('Yone', 57)"
riven,"('Urgot', 43)","('Ambessa', 56)"
riven,"('Yorick', 44)","('Dr. Mundo', 55)"
riven,"('Malphite', 45)","('Sion', 55)"
riven,"('Warwick', 46)","('Gwen', 54)"
sivir,"('Twitch', 47)","('Smolder', 56)"
sivir,"('Vayne', 48)","('Kalista', 56)"
sivir,"('Ashe', 49)","('Ezreal', 55)"
sivir,"('Jinx', 49)","(""Kai'Sa"", 53)"
sivir,"('Draven', 49)","('Varus', 53)"
veigar,"('Xerath', 47)","('Mel', 60)"
veigar,"(""Cho'Gath"", 47)","('Ryze', 55)"
veigar,"('LeBlanc', 47)","('Akshan', 54)"
veigar,"('Syndra', 47)","('Yone', 54)"
veigar,"('Kassadin', 47)","('Akali', 54)"
xayah,"(""Kog'Maw"", 42)","('Samira', 55)"
xayah,"('Jinx', 47)","('Varus', 54)"
